id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
202023,"Utah State University",UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,USU:UTC:102873,UTC00102873,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,"Chris Lee",2015,,"University of British Columbia Herbarium",,,,"John H. Beaman; H. G. Barclay",978,1954-07-11,1954,7,11,192,,"11 July 1954","cited by Beaman in contributing Gray Herbarium 183, p. 81 voucher for embryological studies","In wet sandstone and limestone soils by snowbank.",,,,,,,,,,,,,,,"United States",Colorado,Gunnison,,"On crest of ridge btwn. Avery Mtn. and Virginia Mtn., near Gothic.",,,,,,,,,,,,,,,,,,,,,"2016-11-30 11:49:51",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,urn:uuid:f03ed135-7841-463f-95b2-dcc12f6f60fb,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=202023
230634,"Utah State University",UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,USU:UTC:193287,UTC00193287,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,"Chris lee",2015,,"University of British Columbia Herbarium",,,,"Betsy Neely",3181,1985-07-21,1985,7,21,202,,"21 July 1985",,"Leadville Limestone talus slope. NW facing slope",,,,,,,,"Dryas, Salix and Kobresia",,,,,,,"United States",Colorado,Gunnison,,"Cement Mtn. NW flank, Gunnison N.F., SE of Horse Basin. Cement Mt. Quad.",,,,,,,,,,,,3658,,,,,,,,,"2016-11-30 11:49:51",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,urn:uuid:6248dc99-ed6d-4388-96d4-914dcf4f3c93,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=230634
231437,"Utah State University",UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,USU:UTC:195635,UTC00195635,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,"Chris lee",2015,,"University of British Columbia Herbarium",,,,"Alan T. Carpenter",3297,1985-08-18,1985,8,18,230,,"18 August 1985",,"Alpine slope, East facing.",,,,,,,,"Senico and Poa",,,,,,,"United States",Colorado,Gunnison,,"Saddle SW of Fossil Mtn., E of unnamed peak 12,524 ft., Fossil Ridge.",,,,,,,,,,,,3719,,,,,,,,,"2016-11-30 11:49:51",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,urn:uuid:2c69ad87-6b40-42f8-8ac5-2e0c2f4482a1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=231437
295278,UCR,,,343cbd43-46a3-4534-9465-ffb0b1132d62,PreservedSpecimen,UCR-BPS-27969,,UCR-27969,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"W.A. Weber",15975,1981-05-11,1981,5,11,131,,1981-5-11,,"Level summit ridge, openings in pine forest, with thin red soil and rocks, with standing water in springtime.",,,,,,,,,Flowering,,,,,,"United States",Colorado,Mesa,,"Uncompahgre Plateau, along road from Tyler Ranch in Unaweap Canyon to Cold Spring Ranger Station",,,,,,,,,,,,,,,,,,,,,"2021-10-16 14:58:06",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0abfbfe2-816a-480f-9b16-fb8dc4ecdba7,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=295278
483360,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,4850cb9d-bced-4b8a-904c-e79f5ba90e8d,107781,72505,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"collectors: B Neely 3181",,1985-07-21,1985,7,21,202,,"21 Jul 1985",,"limestone talus slope",,,,,,,,"Dryas, Salix, Kobresia",,,,,1,,"United States",Colorado,"Gunnison County",,"Cement Mt, NW flank, Gunnison NF, SE of Horse Basin",,38.8,-106.82,WGS84,,,,,,,,3657,,,,,11999ft.,,en,,"2017-01-16 20:22:41",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4850cb9d-bced-4b8a-904c-e79f5ba90e8d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483360
483361,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,735124ac-4ba6-4bba-abfc-4501f059d341,100703,72552,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"collectors: A Carpenter",3297,1985-08-18,1985,8,18,230,,"18 Aug 1985",,"E facing slope",,,,,,,,"Senecio, Poa",,,,,1,,"United States",Colorado,"Gunnison County",,"Saddle SW of Fossil Mt, E of unnamed peak 12524 ft, Fossil Ridge",,38.66,-106.61,WGS84,,,,,,,,3718,,,,,12199ft.,,en,,"2017-01-16 20:22:41",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:735124ac-4ba6-4bba-abfc-4501f059d341,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483361
483362,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,4aac4964-a9f9-439d-be2a-46093d5d2fe1,107780,33298,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"collectors: J Langenheim 52",,1948-06-00,1948,6,0,,,"Jun 1948",,"open dry rocky hillside",,,,,,,,,,,,,1,,"United States",Colorado,"Gunnison County",,"vicinity of Gothic",,38.95,-106.99,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:22:40",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4aac4964-a9f9-439d-be2a-46093d5d2fe1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483362
483363,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c9d948ff-af27-44d5-a327-94d7154aa7df,107782,72602,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"collectors: B Neely 3246",,1985-07-30,1985,7,30,211,,"30 Jul 1985",,"limestone, prospect piles",,,,,,,,,,,,,1,,"United States",Colorado,"Lake County",,"Empire Hill ca 2 mi W of Continental Divide, N of Big Union Ck & Weston Pass Rd",,39.19,-106.21,WGS84,,,,,,,,3733,,,,,12248ft.,,en,,"2017-01-16 20:22:40",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c9d948ff-af27-44d5-a327-94d7154aa7df,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483363
1200042,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"Jeanette Flaig, Ronald L. Hartman and Dean Erhard",5588,2004-07-09,2004,7,9,191,,2004-7-9,,"Saddle just below peak.",,,,,,,,,flowering,,,,,,U.S.A.,Colorado,"San Juan",,"Eastern San Juan Mountains: Rio Grande National Forest: Sheep Mountain, Forest Road 520, just SE of Stony Pass, ca 13 mi E of Silverton.",,37.7901,-107.5286,,,"37.7901° N, 107.5286° W; GPS Reading; T41N R6W S21 SE1/4 of SE1/4",,,"GPS Reading",,,3797,,,,,"12455 ft.",,English,,"2009-03-19 15:36:08",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f3b3d715-064c-4d02-a2a6-fa03ce574a46,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1200042
1277509,RM,,,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,773399,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia rothrockii",18827,"A. Gray ex Rothrock",Townsendia,,rothrockii,,,Species,,,,,,,,"Kevin J. Taylor, Chris Floyd and Josh Crayton",10149,1998-08-09,1998,8,9,221,,1998-8-9,,"Alpine tundra along ridge and on top of mountain; on limestone.",,,,,,,,,"flowering and fruiting",,,,,,U.S.A.,Colorado,Gunnison,,"Northern Gunnison Basin: Fossil Ridge Wilderness: Fossil Mountain, ca 6.5 air mi N of Ohio.",,38.6674,-106.6114,,,"38.6674° N, 106.6114° W; uncertainty 0.25 mi.; T51N R3E S23 N1/2",,,,,,3598,3872,,,,"11800-12700 ft.",,English,,"2013-04-08 08:51:04",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2c62a016-6da5-40fc-9c29-2bada669551b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1277509
