id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
92383,NMCR,,,6a40917e-1f33-42ab-a6e8-b42c7ee4e2ce,PreservedSpecimen,,23393,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"K. Allred",,,,,,,"Kelly W. Allred",8269,2002-08-02,2002,8,2,214,,"02 Aug 2002",,,,,,,,,,,,,,,,,"United States","New Mexico",Colfax,,"Sangre de Cristos Mts, Carson National Forest, Valle Vidal unit, Middle Ponil Creek, along For. Rd 1910 about 1.5 miles south of Shuree Ponds, subalpine coniferous forest, N36 44.328 W105 11.364",,,,,,,,,,,,2678,,,,,ft.,,,,"2002-10-10 00:00:00",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3108b23a-c97a-475b-948b-05f74d87b5db,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=92383
92394,NMCR,,,6a40917e-1f33-42ab-a6e8-b42c7ee4e2ce,PreservedSpecimen,,23646,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"K. Allred",,,,,,,"Kelly W. Allred; Lynda Allred",8477,2002-10-04,2002,10,4,277,,"04 Oct 2002",,,,,,,,,,,,,,,,,"United States","New Mexico",Sierra,,"Black Range, Gila National Forest, along Middle Percha Creek, 0.75 miles west of Hillsboro & jct with hwy 152, N32 54.938 W107 43.072, shady ground around creek, transition zone with gambel oak, ponderosa pine, juniper, infrequent in clearings",,,,,,,,,,,,1966,,,,,ft.,,,,"2002-11-14 00:00:00",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:58d7b12b-0e46-4108-85be-3dc855c480c1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=92394
135911,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,10989,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"M.J. Warnock",1993,,,,,,"T.D.A. Cockerell",sn,1900-08-25,1900,8,25,237,,,,,,,,,,,,,,,,,,,"United States","New Mexico",Colfax,,"near Raton",,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7b9b7271-2587-4eb1-93f7-2512cd3ee152,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=135911
135941,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,33928,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"M.J. Warnock",1993,,,,,,"A.L. Hershey",2441,1941-08-03,1941,8,3,215,,,,"edges of lava flow",,,,,,,,,,,,,,,"United States","New Mexico",McKinley,,"Southwest of Grants",,,,,,,,,,,,2195,,,,,"ca. 7200ft",,,,"2015-05-01 23:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8d037fd3-9ce6-4e40-9d4d-11371450e04d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=135941
135942,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,37639,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"M.J. Warnock",1993,,,,,,"J. Morrow",sn,1952-07-05,1952,7,5,187,,,,"Yellow pine forest",,,,,,,,,,,,,,,"United States","New Mexico",Union,,"37 mi. E of Raton & 7 mi. S of the Colorado St. Line",,,,,,,,,,,,2134,,,,,"ca. 7000ft",,,,"2015-05-01 23:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:72eee1b6-387b-47d0-95ee-ded348902de2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=135942
507806,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,8cc56a07-7176-4265-bd08-6626d7d6cc09,110035,44152,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,"Jennifer Ackerfield, 1-2010",,,,,,,"collectors: R Walter 568",,1961-08-20,1961,8,20,232,,"20 Aug 1961",,,,,,,,,,aspen,,,,,1,,"United States",Colorado,"Park County",,"2 mi W of Jefferson",,,,WGS84,,,,,,,,2926,,,,,9600ft.,,en,,"2017-01-16 17:46:24",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8cc56a07-7176-4265-bd08-6626d7d6cc09,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507806
507814,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,7904cb1b-dae3-489c-8f58-abbcc509a409,110049,46752,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,,,,,,,,"collectors: S Riedel 19",,1964-08-26,1964,8,26,239,,"26 Aug 1964",,meadow,,,,,,,,,,,,,1,,"United States",Colorado,"Clear Creek County",,"Doolittle Ranch 10 mi S of Idaho Springs",,39.66,-105.46,WGS84,,,,,,,,2987,,,,,9800ft.,,en,,"2017-01-16 17:46:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7904cb1b-dae3-489c-8f58-abbcc509a409,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507814
507815,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,6c0debb1-3231-4ac3-9b3b-d9f817a95df2,110054,53780,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,,,,,,,,"collectors: G Brown 506",,1972-08-04,1972,8,4,217,,"4 Aug 1972",,"gentle slope",,,,,,,,aspen,,,,,1,,"United States",Colorado,"Clear Creek County",,"Jeffco Outdoor Lab School, upper meadow above bldg complex",,39.66,-105.45,WGS84,,,,,,,,2743,,,,,9000ft.,,en,,"2017-01-16 17:46:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6c0debb1-3231-4ac3-9b3b-d9f817a95df2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507815
507816,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,ee69c415-3255-4fe0-b1fa-1f0fdea92513,110050,29915,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,,,,,,,,"collectors: J Christ 1316",,1935-07-28,1935,7,28,209,,"28 Jul 1935",,"gravelly meadow along ck",,,,,,,,,,,,,1,,"United States",Colorado,"El Paso County",,"Corley Mt Hwy",,38.82,-104.88,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 17:46:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ee69c415-3255-4fe0-b1fa-1f0fdea92513,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507816
507817,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c3fcfaad-3afb-48ce-9aac-8eead2d859e5,110039,60714,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium ramosum",18141,Rydb.,Delphinium,,ramosum,,,Species,,,,,,,,"collectors: B Braker & C Gregory 41",,1975-09-04,1975,9,4,247,,"4 Sep 1975",,meadow,,,,,,,,,,,,,1,,"United States",Colorado,"El Paso County",,"Emerald Valley Ranch Rd .3 mi from Old Stagecoach Rd",,38.73,-104.91,WGS84,,,,,,,,2621,,,,,8600ft.,,en,,"2017-01-16 17:46:23",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c3fcfaad-3afb-48ce-9aac-8eead2d859e5,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507817
